0.0;145;49;44;238;0.9338407304998909;2.844136546184739;0.9541365461847389;0.7669477911646586
0.1;163;38;12;213;0.7021062329926507;3.186294642857143;0.7196428571428571;0.22937500000000002
0.2;160;50;15;225;0.7859649122807018;3.1590254237288136;0.9260169491525422;0.2511016949152542
0.3;166;37;7;210;0.6307534718591036;3.278054298642534;0.674389140271493;0.08972850678733033
0.4;172;31;0;203;0.5012901786300219;3.352830188679245;0.5508490566037736;0
0.5;172;25;0;197;0.47208665090902246;3.360679611650485;0.41684466019417477;0
0.6;173;20;0;193;0.4455653226940002;3.356142857142857;0.33799999999999997;0
0.7;174;17;0;191;0.428980235237056;3.3614622641509437;0.2891509433962265;0
0.8;174;15;0;189;0.4181224569354092;3.3703809523809523;0.25352380952380954;0
0.9;175;13;0;188;0.40670800375205285;3.377846889952153;0.20966507177033494;0
1.0;175;11;0;186;0.3956366127514046;3.3978817733990145;0.14556650246305416;0
